Step,ObjectName,Description,Action,Input,Condition,Reference
1,UserID,Enter the value [<Data>] in the Field [<Object>],Set,@standard_user,,SwagLabsHome
2,Password,Enter the value [<Data>] in the Field [<Object>],Set,@secret_sauce,,SwagLabsHome
